movie_id,title,cast,genres,tags
tt0239495,Jaal,"Rekha, Mithun Chakraborty, Mandakini, Moon Moon Sen","['action', 'drama', 'thriller']","['Shankar', 'Verma', 'lives', 'a', 'poor', 'lifestyle', 'with', 'his', 'mom,', 'Shanti,', 'in', 'India', 'after', 'His', 'father,', 'Sathpal,', 'leaves', 'the', 'family', 'for', 'a', 'courtesan', 'by', 'the', 'name', 'of', 'Meenabai.', 'Years', 'later,', 'Shankar', 'has', 'now', 'grown', '...', 'See', 'full', 'summary', '»', 'action', 'drama', 'thriller', 'action', 'drama', 'thriller', 'rekha', 'mithunchakraborty', 'mandakini', 'moonmoonsen', 'umeshmehra']"
tt1600439,Shaapit: The Cursed,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi","['adventure', 'horror', 'romance']","['In', 'order', 'to', 'wed', 'his', 'sweetheart,', 'a', 'male', 'must', 'reverse', 'a', '350-year', 'old', 'curse', 'on', 'her', 'family.', 'adventure', 'horror', 'romance', 'adventure', 'horror', 'romance', 'adityanarayan', 'shwetaagarwal', 'rahuldev', 'shubhjoshi', 'vikrambhatt']"
tt0233856,Hello Brother,"Salman Khan, Rani Mukerji, Arbaaz Khan, Johny Lever","['action', 'comedy', 'fantasy']","['A', 'police', 'officer', 'receives', 'a', 'heart', 'transplant', 'from', 'a', 'murdered', 'man', 'whose', 'ghost', 'then', 'follows', 'him', 'around', 'insisting', 'that', 'he', 'solve', 'and', 'avenge', 'his', 'murder.', 'action', 'comedy', 'fantasy', 'action', 'comedy', 'fantasy', 'salmankhan', 'ranimukerji', 'arbaazkhan', 'johnylever', 'sohailkhan']"
tt0116407,Ghatak: Lethal,"Sunny Deol, Meenakshi Sheshadri, Danny Denzongpa, Amrish Puri","['action', 'drama']","['Unable', 'to', 'witness', 'the', 'injustice', 'and', 'brutality', 'inflict', 'on', 'the', 'residents', 'by', 'a', 'tyrannical', 'gangster,', 'Katya,', 'in', 'a', 'small', 'Indian', 'village', 'in', 'India;', 'Kashinath', 'alias', 'Kashi', 'decides', 'to', 'single-handily', '...', 'See', 'full', 'summary', '»', 'action', 'drama', 'action', 'drama', 'sunnydeol', 'meenakshisheshadri', 'dannydenzongpa', 'amrishpuri', 'rajkumarsantoshi']"
tt10196464,Ramprasad Ki Tehrvi,"Supriya Pathak, Konkona Sen Sharma, Parambrata Chattopadhyay, Vikrant Massey","['comedy', 'drama']","[""Bauji's"", 'entire', 'family', 'comes', 'under', 'one', 'roof', 'for', '13', 'days', 'after', 'he', 'passes', 'away.', 'We', 'get', 'a', 'glimpse', 'of', 'their', 'dynamics,', 'politics', 'and', 'insecurities', 'as', 'each', 'one', 'of', 'them', 'is', 'on', 'their', 'journey', 'to', 'discover', 'their', 'own', 'selves', 'and', 'truth.', 'comedy', 'drama', 'comedy', 'drama', 'supriyapathak', 'konkonasensharma', 'parambratachattopadhyay', 'vikrantmassey', 'seemapahwa']"
tt22245482,Backfire,"Sandeepa Dhar, Karan Singh Grover, Kay Kay Menon, Neil Nitin Mukesh",['mystery'],"['Add', 'a', 'Plot', 'mystery', 'mystery', 'sandeepadhar', 'karansinghgrover', 'kaykaymenon', 'neilnitinmukesh', 'ashokkmishra']"
tt0265148,Main Prem Ki Diwani Hoon,"Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan, Johny Lever","['comedy', 'drama', 'musical']","['This', 'is', 'the', 'story', 'of', 'Sanjana,', 'a', 'girl', 'of', ""today's"", 'generation', 'full', 'of', 'life', 'and', 'vibrant', 'ecstasy.', 'She', 'lives', 'life', 'on', 'her', 'own', 'terms', 'and', 'gets', 'very', 'upset', 'when', 'her', 'mother', 'Susheela,', 'arranges', 'for', 'her', 'to', 'see', 'a', 'boy', 'leading', 'to', 'a', 'marriage', 'prospect.', 'comedy', 'drama', 'musical', 'comedy', 'drama', 'musical', 'hrithikroshan', 'kareenakapoor', 'abhishekbachchan', 'johnylever', 'soorajr.barjatya']"
tt0260222,Naseeb Apna Apna,"Rishi Kapoor, Farha Naaz, Radhika Sarathkumar, Rakesh Bedi","['comedy', 'drama']","['A', 'domineering', 'man', 'marries', 'his', 'son', 'to', 'a', 'simple', 'village', 'girl.', 'But', 'when', 'she', 'arrives', 'at', 'his', 'house', 'in', 'the', 'city,', 'she', 'discovers', 'that', 'he', 'is', 'already', 'married', 'to', 'an', 'attractive', 'city', 'woman.', 'comedy', 'drama', 'comedy', 'drama', 'rishikapoor', 'farhanaaz', 'radhikasarathkumar', 'rakeshbedi', 'ramaraotatineni']"
tt0359808,Parivaar,"Mithun Chakraborty, Meenakshi Sheshadri, Shakti Kapoor, Baby Guddu","['drama', 'family']","['Anita', 'finds', 'shelter', 'with', 'a', 'street', 'perfomer', 'Birju', 'when', 'she', 'is', 'abandoned', 'by', 'her', 'relatives', 'due', 'to', 'dowry', 'issues', 'drama', 'family', 'drama', 'family', 'mithunchakraborty', 'meenakshisheshadri', 'shaktikapoor', 'babyguddu', 'shashilalk.nair']"
tt4990516,Tu Hai Mera Sunday,"Barun Sobti, Shahana Goswami, Avinash Tiwary, Nakul Bhalla","['comedy', 'drama']","['When', 'their', 'Sunday', 'soccer', 'game', 'on', 'the', 'beach', 'is', 'canceled,', 'five', 'friends', 'set', 'out', 'to', 'find', 'another', 'place', 'to', 'play', 'in', 'the', 'noisy,', 'crowded', 'city', 'of', 'Mumbai.', 'comedy', 'drama', 'comedy', 'drama', 'barunsobti', 'shahanagoswami', 'avinashtiwary', 'nakulbhalla', 'milinddhaimade']"
